teamA,teamB,result,matchDate
GDR Travanca,AD Figueiró,2-2,2019/10/12
ARCA (Amarante),ADRC Estradinha,1-0,2019/10/12
ACD Madalena,Mancelos FC,1-1,2019/10/12
AD Lufrei,Padronelo,1-3,2019/10/12
GD Cepelos,GCDR Estrelas da Paz,4-2,2019/10/12
UCD Moure,ACR Gatão,2-2,2019/10/12
ADRC Estradinha,GDR Travanca,1-4,2019/10/19
Freixo de Baixo,ARCA (Amarante),7-2,2019/10/19
AD Figueiró,ACD Madalena,0-1,2019/10/19
Mancelos FC,AD Lufrei,0-1,2019/10/19
Padronelo,GD Cepelos,0-1,2019/10/19
GCDR Estrelas da Paz,UCD Moure,1-1,2019/10/19
ACD Madalena,ADRC Estradinha,2-1,2019/10/27
GDR Travanca,Freixo de Baixo,1-1,2019/10/27
AD Lufrei,AD Figueiró,2-0,2019/10/27
GD Cepelos,Mancelos FC,0-1,2019/10/27
UCD Moure,Padronelo,3-0,2019/10/27
ACR Gatão,GCDR Estrelas da Paz,3-1,2019/10/27
Freixo de Baixo,ACD Madalena,1-1,2019/11/03
ARCA (Amarante),GDR Travanca,4-3,2019/11/03
ADRC Estradinha,AD Lufrei,3-0,2019/11/03
AD Figueiró,GD Cepelos,2-4,2019/11/03
Mancelos FC,UCD Moure,0-1,2019/11/03
Padronelo,ACR Gatão,1-0,2019/11/03
AD Lufrei,Freixo de Baixo,2-0,2019/11/09
ACD Madalena,ARCA (Amarante),2-3,2019/11/09
GD Cepelos,ADRC Estradinha,2-0,2019/11/09
UCD Moure,AD Figueiró,1-3,2019/11/09
ACR Gatão,Mancelos FC,2-1,2019/11/09
GCDR Estrelas da Paz,Padronelo,0-1,2019/11/09
ARCA (Amarante),AD Lufrei,2-1,2019/11/16
GDR Travanca,ACD Madalena,0-1,2019/11/16
Freixo de Baixo,GD Cepelos,2-1,2019/11/16
ADRC Estradinha,UCD Moure,2-6,2019/11/16
AD Figueiró,ACR Gatão,0-3,2019/11/16
Mancelos FC,GCDR Estrelas da Paz,2-3,2019/11/16
GD Cepelos,ARCA (Amarante),3-0,2019/11/24
AD Lufrei,GDR Travanca,1-1,2019/11/24
UCD Moure,Freixo de Baixo,1-0,2019/11/24
ACR Gatão,ADRC Estradinha,3-0,2019/11/24
GCDR Estrelas da Paz,AD Figueiró,1-0,2019/11/24
Padronelo,Mancelos FC,1-0,2019/11/24
GDR Travanca,GD Cepelos,1-3,2019/12/01
ACD Madalena,AD Lufrei,5-3,2019/12/01
ARCA (Amarante),UCD Moure,1-6,2019/12/01
Freixo de Baixo,ACR Gatão,2-1,2019/12/01
ADRC Estradinha,GCDR Estrelas da Paz,3-1,2019/12/01
AD Figueiró,Padronelo,3-2,2019/12/01
UCD Moure,GDR Travanca,1-2,2019/12/07
GD Cepelos,ACD Madalena,0-1,2019/12/07
ACR Gatão,ARCA (Amarante),4-0,2019/12/07
GCDR Estrelas da Paz,Freixo de Baixo,0-3,2019/12/07
Padronelo,ADRC Estradinha,2-0,2019/12/07
Mancelos FC,AD Figueiró,3-2,2019/12/07
AD Lufrei,GD Cepelos,1-4,2019/12/14
ACD Madalena,UCD Moure,0-1,2019/12/14
ARCA (Amarante),GCDR Estrelas da Paz,4-0,2019/12/14
Freixo de Baixo,Padronelo,1-0,2019/12/14
ADRC Estradinha,Mancelos FC,2-1,2019/12/14
GDR Travanca,ACR Gatão,2-3,2019/12/14
ACR Gatão,ACD Madalena,4-3,2020/01/05
UCD Moure,AD Lufrei,4-2,2020/01/05
GCDR Estrelas da Paz,GDR Travanca,2-0,2020/01/05
Padronelo,ARCA (Amarante),3-0,2020/01/05
Mancelos FC,Freixo de Baixo,1-6,2020/01/05
AD Figueiró,ADRC Estradinha,3-2,2020/01/05
AD Lufrei,ACR Gatão,3-2,2020/01/11
GD Cepelos,UCD Moure,0-1,2020/01/11
ACD Madalena,GCDR Estrelas da Paz,3-3,2020/01/11
GDR Travanca,Padronelo,0-0,2020/01/11
ARCA (Amarante),Mancelos FC,4-1,2020/01/11
Freixo de Baixo,AD Figueiró,4-0,2020/01/11
GCDR Estrelas da Paz,AD Lufrei,5-3,2020/01/18
ACR Gatão,GD Cepelos,2-0,2020/01/18
Padronelo,ACD Madalena,1-2,2020/01/18
Mancelos FC,GDR Travanca,0-4,2020/01/18
AD Figueiró,ARCA (Amarante),4-3,2020/01/18
ADRC Estradinha,Freixo de Baixo,0-0,2020/01/18
AD Figueiró,GDR Travanca,3-1,2020/02/08
ADRC Estradinha,ARCA (Amarante),1-2,2020/02/08
Mancelos FC,ACD Madalena,1-2,2020/02/08
Padronelo,AD Lufrei,3-2,2020/02/08
GCDR Estrelas da Paz,GD Cepelos,0-2,2020/02/08
ACR Gatão,UCD Moure,0-2,2020/02/08
GDR Travanca,ADRC Estradinha,3-0,2020/02/16
ARCA (Amarante),Freixo de Baixo,1-3,2020/02/16
ACD Madalena,AD Figueiró,5-3,2020/02/16
AD Lufrei,Mancelos FC,4-1,2020/02/16
GD Cepelos,Padronelo,4-1,2020/02/16
UCD Moure,GCDR Estrelas da Paz,2-1,2020/02/16
GCDR Estrelas da Paz,ACR Gatão,1-4,2020/02/22
Freixo de Baixo,GDR Travanca,2-1,2020/02/22
ADRC Estradinha,ACD Madalena,2-1,2020/02/22
AD Figueiró,AD Lufrei,1-2,2020/02/22
Mancelos FC,GD Cepelos,0-2,2020/02/22
Padronelo,UCD Moure,1-0,2020/02/22
ACD Madalena,Freixo de Baixo,0-1,2020/02/29
GDR Travanca,ARCA (Amarante),1-2,2020/02/29
AD Lufrei,ADRC Estradinha,2-0,2020/02/29
GD Cepelos,AD Figueiró,3-4,2020/02/29
UCD Moure,Mancelos FC,5-0,2020/02/29
ACR Gatão,Padronelo,1-2,2020/02/29
Freixo de Baixo,AD Lufrei,pst,2020/03/07
ARCA (Amarante),ACD Madalena,pst,2020/03/07
ADRC Estradinha,GD Cepelos,pst,2020/03/07
AD Figueiró,UCD Moure,pst,2020/03/07
Mancelos FC,ACR Gatão,pst,2020/03/07
Padronelo,GCDR Estrelas da Paz,pst,2020/03/07
AD Lufrei,ARCA (Amarante),pst,2020/03/15
ACD Madalena,GDR Travanca,pst,2020/03/15
GD Cepelos,Freixo de Baixo,pst,2020/03/15
UCD Moure,ADRC Estradinha,pst,2020/03/15
ACR Gatão,AD Figueiró,pst,2020/03/15
GCDR Estrelas da Paz,Mancelos FC,pst,2020/03/15
ARCA (Amarante),GD Cepelos,pst,2020/03/22
GDR Travanca,AD Lufrei,pst,2020/03/22
Freixo de Baixo,UCD Moure,pst,2020/03/22
ADRC Estradinha,ACR Gatão,pst,2020/03/22
AD Figueiró,GCDR Estrelas da Paz,pst,2020/03/22
Mancelos FC,Padronelo,pst,2020/03/22
GD Cepelos,GDR Travanca,pst,2020/04/04
AD Lufrei,ACD Madalena,pst,2020/04/04
UCD Moure,ARCA (Amarante),pst,2020/04/04
ACR Gatão,Freixo de Baixo,pst,2020/04/04
GCDR Estrelas da Paz,ADRC Estradinha,pst,2020/04/04
Padronelo,AD Figueiró,pst,2020/04/04
GDR Travanca,UCD Moure,pst,2020/04/18
ACD Madalena,GD Cepelos,pst,2020/04/18
ARCA (Amarante),ACR Gatão,pst,2020/04/18
Freixo de Baixo,GCDR Estrelas da Paz,pst,2020/04/18
ADRC Estradinha,Padronelo,pst,2020/04/18
AD Figueiró,Mancelos FC,pst,2020/04/18
UCD Moure,ACD Madalena,pst,2020/05/02
GD Cepelos,AD Lufrei,pst,2020/05/02
ACR Gatão,GDR Travanca,pst,2020/05/02
GCDR Estrelas da Paz,ARCA (Amarante),pst,2020/05/02
Padronelo,Freixo de Baixo,pst,2020/05/02
Mancelos FC,ADRC Estradinha,pst,2020/05/02
ACD Madalena,ACR Gatão,pst,2020/05/09
AD Lufrei,UCD Moure,pst,2020/05/09
GDR Travanca,GCDR Estrelas da Paz,pst,2020/05/09
ARCA (Amarante),Padronelo,pst,2020/05/09
Freixo de Baixo,Mancelos FC,pst,2020/05/09
ADRC Estradinha,AD Figueiró,pst,2020/05/09
ACR Gatão,AD Lufrei,pst,2020/05/16
UCD Moure,GD Cepelos,pst,2020/05/16
GCDR Estrelas da Paz,ACD Madalena,pst,2020/05/16
Padronelo,GDR Travanca,pst,2020/05/16
Mancelos FC,ARCA (Amarante),pst,2020/05/16
AD Figueiró,Freixo de Baixo,pst,2020/05/16
AD Lufrei,GCDR Estrelas da Paz,pst,2020/05/30
GD Cepelos,ACR Gatão,pst,2020/05/30
ACD Madalena,Padronelo,pst,2020/05/30
GDR Travanca,Mancelos FC,pst,2020/05/30
ARCA (Amarante),AD Figueiró,pst,2020/05/30
Freixo de Baixo,ADRC Estradinha,pst,2020/05/30
