team_a,team_b,result,match_date
GD Cepelos,Padronelo,1-0,202010/2/10/16
CD Louredo,Unidos da Torre,1-3,202010/2/10/16
Gondar,AD Vilarinho,2-2,202010/2/10/16
ADRC Estradinha,ACR Gatão,3-1,202010/2/10/16
Freixo de Baixo,Malteses,0-2,202010/2/10/16
AD Lufrei,ARCA (Amarante),2-1,202010/2/10/16
ACD Madalena,Fridão,0-2,202010/2/10/16
Padronelo,Gondar,2-0,202010/2/10/23
Unidos da Torre,GD Cepelos,1-0,202010/2/10/23
AD Vilarinho,ADRC Estradinha,1-2,202010/2/10/23
ACR Gatão,AD Lufrei,1-3,202010/2/10/23
Malteses,ACD Madalena,5-3,202010/2/10/23
ARCA (Amarante),Freixo de Baixo,1-1,202010/2/10/23
Fridão,CD Louredo,1-1,202010/2/10/23
ACD Madalena,ARCA (Amarante),4-2,202010/2/10/30
AD Lufrei,AD Vilarinho,3-2,202010/2/10/30
CD Louredo,GD Cepelos,0-4,202010/2/10/30
ADRC Estradinha,Padronelo,2-2,202010/2/10/30
Fridão,Malteses,1-2,202010/2/10/30
Freixo de Baixo,ACR Gatão,1-0,202010/2/10/30
Gondar,Unidos da Torre,1-0,202010/2/10/30
Unidos da Torre,ADRC Estradinha,4-3,202010/2/11/07
GD Cepelos,Gondar,2-0,202010/2/11/07
Padronelo,AD Lufrei,2-0,202010/2/11/07
AD Vilarinho,Freixo de Baixo,1-3,202010/2/11/07
ARCA (Amarante),Fridão,0-2,202010/2/11/07
ACR Gatão,ACD Madalena,3-1,202010/2/11/07
Malteses,CD Louredo,0-1,202010/2/11/07
ADRC Estradinha,GD Cepelos,2-2,202010/2/11/13
CD Louredo,Gondar,3-4,202010/2/11/13
AD Lufrei,Unidos da Torre,1-2,202010/2/11/13
Freixo de Baixo,Padronelo,1-3,202010/2/11/13
Fridão,ACR Gatão,2-2,202010/2/11/13
ACD Madalena,AD Vilarinho,2-3,202010/2/11/13
Malteses,ARCA (Amarante),2-0,202010/2/11/13
GD Cepelos,AD Lufrei,0-0,202010/2/11/20
Gondar,ADRC Estradinha,1-1,202010/2/11/20
Unidos da Torre,Freixo de Baixo,2-1,202010/2/11/20
Padronelo,ACD Madalena,3-0,202010/2/11/20
ACR Gatão,Malteses,2-2,202010/2/11/20
AD Vilarinho,Fridão,1-1,202010/2/11/20
ARCA (Amarante),CD Louredo,4-0,202010/2/11/20
ACD Madalena,Unidos da Torre,1-2,202010/2/11/27
CD Louredo,ADRC Estradinha,0-2,202010/2/11/27
AD Lufrei,Gondar,2-2,202010/2/11/27
Freixo de Baixo,GD Cepelos,1-2,202010/2/11/27
Malteses,AD Vilarinho,5-3,202010/2/11/27
Fridão,Padronelo,0-1,202010/2/11/27
ARCA (Amarante),ACR Gatão,0-2,202010/2/11/27
AD Vilarinho,ARCA (Amarante),6-2,202010/2/12/04
ADRC Estradinha,AD Lufrei,0-0,202010/2/12/04
Gondar,Freixo de Baixo,1-1,202010/2/12/04
GD Cepelos,ACD Madalena,3-0,202010/2/12/04
Padronelo,Malteses,3-0,202010/2/12/04
Unidos da Torre,Fridão,2-1,202010/2/12/04
ACR Gatão,CD Louredo,5-1,202010/2/12/04
Freixo de Baixo,ADRC Estradinha,1-0,202010/2/12/11
CD Louredo,AD Lufrei,0-2,202010/2/12/11
ACD Madalena,Gondar,2-1,202010/2/12/11
Fridão,GD Cepelos,0-4,202010/2/12/11
ARCA (Amarante),Padronelo,2-1,202010/2/12/11
Malteses,Unidos da Torre,1-0,202010/2/12/11
ACR Gatão,AD Vilarinho,1-0,202010/2/12/11
ADRC Estradinha,ACD Madalena,1-2,202010/2/12/18
AD Lufrei,Freixo de Baixo,2-0,202010/2/12/18
Gondar,Fridão,2-0,202010/2/12/18
Padronelo,ACR Gatão,4-0,202010/2/12/18
AD Vilarinho,CD Louredo,5-0,202010/2/12/18
GD Cepelos,Malteses,3-1,202010/2/12/18
Unidos da Torre,ARCA (Amarante),5-2,202010/2/12/18
ACR Gatão,Unidos da Torre,1-4,2011/01/08
CD Louredo,Freixo de Baixo,1-2,2011/01/08
ACD Madalena,AD Lufrei,1-2,2011/01/08
Fridão,ADRC Estradinha,3-1,2011/01/08
ARCA (Amarante),GD Cepelos,0-2,2011/01/08
Malteses,Gondar,1-2,2011/01/08
AD Vilarinho,Padronelo,0-4,2011/01/08
AD Lufrei,Fridão,1-3,2011/01/16
Freixo de Baixo,ACD Madalena,2-1,2011/01/16
ADRC Estradinha,Malteses,0-1,2011/01/16
Gondar,ARCA (Amarante),2-0,2011/01/16
Unidos da Torre,AD Vilarinho,4-1,2011/01/16
GD Cepelos,ACR Gatão,3-2,2011/01/16
CD Louredo,Padronelo,1-4,2011/01/16
Fridão,Freixo de Baixo,0-3,2011/01/29
ACD Madalena,CD Louredo,1-1,2011/01/29
Malteses,AD Lufrei,0-0,2011/01/29
ARCA (Amarante),ADRC Estradinha,2-1,2011/01/29
AD Vilarinho,GD Cepelos,1-2,2011/01/29
ACR Gatão,Gondar,1-1,2011/01/29
Padronelo,Unidos da Torre,2-0,2011/01/29
ARCA (Amarante),AD Lufrei,1-2,2011/02/05
Unidos da Torre,CD Louredo,3-2,2011/02/05
